ano,uf,ugrhi,municipio,codigo_ibge,populacao_urbana,atendimento_coleta_porc,atendimento_tratamento_porc,eficiencia,carga_poluidora_potencial,carga_poluidora_remancescente,ictem
2022,SP,9,Descalvado,3513702,30426,99.1,80,91.3,1643,454,7.4
2022,SP,9,Dumont,3514601,9813,100,100,60,530,212,7.4
2022,SP,9,Engenheiro Coelho,3515152,15880,100,100,80,858,172,10
2022,SP,9,Espírito Santo do Pinhal,3515186,39645,93.7,100,90.6,2141,323,9.91
2022,SP,9,Estiva Gerbi,3557303,9178,100,0,0,496,496,1.5
2022,SP,9,Guariba,3518602,40007,99.8,100,82,2160,392,10
2022,SP,9,Guatapará,3518859,5699,100,30,95,308,220,4
2022,SP,9,Itapira,3522604,70205,100,100,80,3791,758,10
2022,SP,9,Jaboticabal,3524303,75704,100,99,49.1,4088,2101,6.35
2022,SP,9,Leme,3526704,103100,100,100,89,5567,612,10
2022,SP,9,Lindóia,3527009,8201,70,0,0,443,443,1.25
2022,SP,9,Luís Antônio,3527603,15095,100,100,74,815,212,8.01
2022,SP,9,Mogi Guaçu,3530706,146340,99.2,60.5,79.6,7902,4125,5.71
2022,SP,9,Mogi Mirim,3530805,88050,96,88.2,96,4755,891,9.76
2022,SP,9,Motuca,3532058,3500,100,100,80,189,38,10
2022,SP,9,Pirassununga,3539301,70858,100,100,73.5,3826,1014,8.28
2022,SP,9,Pitangueiras,3539509,38874,100,9.7,70.8,2099,1956,2.08
2022,SP,9,Pontal,3540200,50751,98.9,100,81.9,2741,521,9.98
2022,SP,9,Porto Ferreira,3540705,55828,96.4,79,88.3,3015,987,7.51
2022,SP,9,Pradópolis,3540903,20605,100,100,70,1113,334,8.05
2022,SP,9,Rincão,3543709,8793,100,0,0,475,475,1.5
2022,SP,9,Santa Cruz da Conceição,3546207,3102,97,100,80,168,38,8.5
2022,SP,9,Santa Cruz das Palmeiras,3546306,34009,100,0,0,1836,1836,1.5
2022,SP,9,Santa Lúcia,3546900,8357,100,100,73.9,451,118,8
2022,SP,9,"Santa Rita do Passa
Quatro",3547502,24742,96.3,100,83.4,1336,264,9.94
2022,SP,9,Santo Antônio do Jardim,3548104,3522,92.4,100,82.1,190,46,8.32
2022,SP,9,São João da Boa Vista,3549102,88632,100,100,91.7,4786,397,10
2022,SP,9,Serra Negra,3551603,25740,78.3,100,85,1390,465,7.5
2022,SP,9,Sertãozinho,3551702,126913,100,90,77,6853,2104,7.55
2022,SP,9,Socorro,3552106,28346,77.5,99,92,1531,450,7.74
2022,SP,9,Taquaral,3553658,2698,100,100,64,146,52,7.359999999999999
2022,SP,10,Alambari,3500758,4685,56.2,100,77.5,253,143,5.17
2022,SP,10,Alumínio,3501152,15854,70.9,70.9,79.2,856,515,4.91
2022,SP,10,Anhembi,3502309,5221,86.9,100,69.7,282,111,7.24
2022,SP,10,Araçariguama,3502754,23343,42.1,42.1,87.3,1261,1065,2.4699999999999998
2022,SP,10,Araçoiaba da Serra,3502903,24325,40,100,88.9,1314,846,4.41
2022,SP,10,Bofete,3506904,7719,89,100,88,417,90,8.43
2022,SP,10,Boituva,3507001,59554,88.3,100,86.8,3216,751,8
2022,SP,10,Botucatu,3507506,144250,100,99,87.4,7790,1063,9.98
2022,SP,10,Cabreúva,3508405,43335,66.2,100,90.8,2340,933,6.6
2022,SP,10,Capela do Alto,3510302,17607,75.6,100,50,951,591,5.59
2022,SP,10,Cerquilho,3511508,48011,98,100,93.4,2593,220,9.97
2022,SP,10,Cesário Lange,3511607,12555,100,100,97.4,678,18,10
2022,SP,10,Conchas,3512308,14696,82.1,100,98,794,155,9.729999999999999
2022,SP,10,Ibiúna,3519709,28030,49.6,45.8,86,1514,1218,3.2
2022,SP,10,Iperó,3521002,23924,90.2,100,91.6,1292,224,9.850000000000001
2022,SP,10,Itu,3523909,165798,100,80,87.2,8953,2707,7.73
2022,SP,10,Jumirim,3525854,2011,90,100,67.9,109,42,7.02
2022,SP,10,Laranjal Paulista,3526407,26011,96.4,100,67.3,1405,493,7.67
2022,SP,10,Mairinque,3528403,38302,77,0,0,2068,2068,1.36
2022,SP,10,Pereiras,3537503,5927,100,100,83,320,54,10
2022,SP,10,Piedade,3537800,25395,73.8,100,68,1371,683,6.37
2022,SP,10,Porangaba,3540507,4927,79.7,100,81,266,94,7.1
2022,SP,10,Porto Feliz,3540606,45135,99.9,100,88.4,2437,284,10
2022,SP,10,Quadra,3541653,998,69.2,100,89.4,54,21,7.06
2022,SP,10,Salto de Pirapora,3545308,36287,98.9,100,83,1959,351,9.78
2022,SP,10,São Roque,3550605,84417,48.5,99,90.5,4559,2578,5.24
2022,SP,10,Sarapuí,3551108,7725,58,100,83.4,417,215,5.51
2022,SP,10,Sorocaba,3552205,688252,99,97.5,88.9,37166,5274,9.950000000000001
2022,SP,10,Tatuí,3554003,118270,97.2,100,82.7,6387,1253,9.96
2022,SP,10,Tietê,3554508,39045,86.5,29,82.5,2108,1672,3.59
2022,SP,10,Torre de Pedra,3554656,1585,89.2,89.2,74,86,35,7.01
2022,SP,10,Vargem Grande Paulista,3556453,54315,35.4,32,80,2933,2667,1.8
2022,SP,10,Votorantim,3557006,119721,99,100,89.5,6465,737,9.99
2022,SP,11,Apiaí,3502705,17415,61.9,100,88,940,428,6.470000000000001
2022,SP,11,Barra do Chapéu,3505351,1706,87.6,100,83,92,25,8.04
2022,SP,11,Barra do Turvo,3505401,3123,73.9,100,81,169,68,7
2022,SP,11,Cajati,3509254,20770,86.7,100,85,1122,295,8.09
2022,SP,11,Cananéia,3509908,10706,83.3,100,85.7,578,165,7.89
2022,SP,11,Eldorado,3514809,7673,97.9,100,82.3,414,80,9.97
2022,SP,11,Iguape,3520301,26635,60.3,100,83.3,1438,716,6.159999999999999
2022,SP,11,Ilha Comprida,3520426,11552,44.5,100,80.6,624,400,5
2022,SP,11,Iporanga,3521200,2335,67.9,100,82.4,126,56,6.659999999999999
2022,SP,11,Itaóca,3522158,1817,61.5,100,86,98,46,6.359999999999999
2022,SP,11,Itapirapuã Paulista,3522653,2094,82.1,100,85,113,34,7.7700000000000005
2022,SP,11,Itariri,3523305,11337,38.3,100,85.6,612,411,4.7
2022,SP,11,Jacupiranga,3524600,9752,100,92,93.6,527,73,9.88
2022,SP,11,Juquiá,3526100,11749,83,95,84,634,214,7.49
2022,SP,11,Juquitiba,3526209,24645,16.6,100,56.1,1331,1207,2.86
2022,SP,11,Miracatu,3529906,10030,86.6,100,83.3,542,151,7.99
2022,SP,11,Pariquera-Açu,3536208,13588,93.9,100,85.9,734,142,9.91
2022,SP,11,Pedro de Toledo,3537206,7931,58.3,100,82.4,428,223,5.99
2022,SP,11,Registro,3542602,50124,99.6,100,80.3,2707,542,9.99
2022,SP,11,Ribeira,3542800,1222,62.7,100,86,66,30,6.44
2022,SP,11,São Lourenço da Serra,3549953,14680,31.6,100,77.5,793,599,4.06
2022,SP,11,Sete Barras,3551801,7039,75.8,100,80.1,380,149,7.09
2022,SP,11,Tapiraí,3553500,5523,79.5,100,81.4,298,105,7.4
2022,SP,12,Altair,3500907,3336,89.3,100,88.6,180,38,8.48
2022,SP,12,Barretos,3505500,119782,100,100,83.2,6468,1087,10
2022,SP,12,Bebedouro,3506102,73959,99.1,43.8,81.1,3994,2588,4.64
2022,SP,12,Colina,3512001,17372,100,100,71.7,938,265,8.16
2022,SP,12,Colômbia,3512100,4498,100,100,93.8,243,15,10
2022,SP,12,Guaraci,3517901,10185,100,100,44,550,308,6.359999999999999
2022,SP,12,Icém,3519808,7177,99.5,100,82.2,388,71,9.99
2022,SP,12,Jaborandi,3524204,6513,90.4,100,89,352,69,9.860000000000001
2022,SP,12,Morro Agudo,3531902,32203,100,97.9,88,1739,241,9.97
2022,SP,12,Orlândia,3534302,43531,100,0,0,2351,2351,1.7
2022,SP,12,Terra Roxa,3554409,9057,93.1,100,83,489,111,8.42
2022,SP,12,Viradouro,3556800,18573,100,100,65.8,1003,343,7.48
2022,SP,13,Agudos,3500709,35915,100,100,95.4,1939,89,10
2022,SP,13,Araraquara,3503208,233704,99.7,100,66.8,12620,4215,7.83
2022,SP,13,Arealva,3503406,6825,77,100,77.8,369,148,7.05
2022,SP,13,Areiópolis,3503604,9940,99.2,100,77,537,127,8.450000000000001
2022,SP,13,Bariri,3505203,34008,98.8,100,87.5,1836,249,9.98
2022,SP,13,Barra Bonita,3505302,35368,99,20,71,1910,1641,3.2
2022,SP,13,Bauru,3506003,375321,98.3,5,85.8,20267,19413,2.02
2022,SP,13,Boa Esperança do Sul,3506706,13493,100,100,71,729,211,8.12
2022,SP,13,Bocaina,3506805,11584,100,100,91.2,626,55,9.7
2022,SP,13,Boracéia,3507308,4405,100,100,82.1,238,43,10
2022,SP,13,Borebi,3507456,2366,100,100,85.6,128,18,9.8
2022,SP,13,Brotas,3507902,21428,100,100,75.4,1157,285,8.1
2022,SP,13,Dois Córregos,3514106,26233,98.5,100,82.3,1417,268,9.48
2022,SP,13,Dourado,3514304,8119,100,100,94,438,26,10
2022,SP,13,Gavião Peixoto,3516853,3916,100,97,86.9,211,33,9.46
